"date","type","description","source","month"
2022-02-24,"Спротив енергодарців","На в'їзді в Енергодар запрацював символічний блокпост. Обороняти йому не було кому, вантаж зброї із Запоріжжя не встиг доїхати.","https://www.facebook.com/DmitroOrlovOfficial/posts/pfbid02J76erafFDAmKx2fKzesZxzJsMgeSPeSuKeSMYwJKGvfH1iuAdm8N3y3gkgFdYHBMl ","2"
2022-02-26,"Спротив енергодарців","Чоловіків 18-60 років закликають до патрулювання вулиць. В місті шукають ворожі мітки і підозрілих людей.","https://t.me/orlovdmytroEn/9","2"
2022-02-26,"Захоплення міста","Більше 100 одиниць російської техніки наближається до міста через села Верхній Рогачик, Велика Білозерка. Велика Білозерка захоплена російськими військовими.","https://twitter.com/PtCEV7IRQG6o2QH/status/1497510982272303105?s=20&t=WyNntcvvxODlHUhzJIeFDw","2"
2022-02-27,"Захоплення міста","Росіяни рушили на Енергодар, але потім повернулися в напрямку Великої Білозерки. Дорогою армія РФ грабує крамниці, вимагає їжу у місцевих жителів.","https://t.me/zoda_gov_ua/4760","2"
2022-02-27,"Шантаж і загроза ЗАЕС","На ЗАЕС працює два енергоблоки. На станцію не підвозять їжу та пальне.","https://t.me/orlovdmytroEn/34","2"
2022-02-27,"Спротив енергодарців","Мер закликає приходити на блокпост з мішками і лопатами. Потрібна допомога з наповненням мішків піском для укріплення блокпосту.","https://t.me/orlovdmytroEn/48","2"
2022-02-28,"Захоплення міста","До міста наближається 40-50 одиниць російської військової техніки. Люди укріплюють блокпост.","https://twitter.com/UkraineWarPic/status/1498354632988540932","2"
2022-02-28,"Спротив енергодарців","Мер Енергодара кличе охочих до охорони громадського порядку. Мітинг і протистояння на блокпосту. Мітингарі зустрічають російських військових вигуками про те, що Енергодар - це Україна. ","https://t.me/orlovdmytroEn/67","2"
2022-02-28,"Захоплення міста","Російські військові не випускають з міста автомобілі з цивільними, погрожуючи пасажирам і водіям розстрілом.","https://twitter.com/Shtirlitz53/status/1498274991158267905?s=20&t=kUYMwtmTiBofGSlY4N_RPg","2"
2022-03-01,"Захоплення міста","Енергодар в оточенні.","https://t.me/orlovdmytroEn/90","3"
2022-03-01,"Захоплення міста","Протистояння на блокпосту.","https://t.me/orlovdmytroEn/95","3"
2022-03-02,"Захоплення міста","Знову російська колона на в'їзді до Енергодара.","https://t.me/orlovdmytroEn/103","3"
2022-03-02,"Захоплення міста","Мер міста пішов на переговори із російськими військовими.","https://t.me/orlovdmytroEn/104","3"
2022-03-02,"Спротив енергодарців","Енергодарці стоять перед колоною російської військової техніки.","https://t.me/orlovdmytroEn/115","3"
2022-03-03,"Захоплення міста","Більше сотні одиниць російської техніки наближається до міста. Російська армія обстріляла житлові будинки і школу. Колона російської техніки в‘їхала в місто.","https://t.me/orlovdmytroEn/133","3"
2022-03-03,"Шантаж і загроза ЗАЕС","Ворожа техніка вирушила у бік ЗАЕС.","https://t.me/orlovdmytroEn/163","3"
2022-03-04,"Шантаж і загроза ЗАЕС","Пожежа в учбово-тренувальному корпусі ЗАЕС. Росіяни захопили майданчик ЗАЕС. Працює один блок із шести.","https://t.me/orlovdmytroEn/166","3"
2022-03-04,"Захоплення міста","Російська військова техніка на площі біля міськради Енергодару.","https://twitter.com/Shtirlitz53/status/1499711595223597064","3"
2022-03-05,"Захоплення міста","Російські військові захопили міськраду Енергодара. Працівники мерії не змогли потрапити на роботу.","https://t.me/orlovdmytroEn/182","3"
2022-03-05,"Шантаж і загроза ЗАЕС","Двоє поранених нацгвардійців, що боронили ЗАЕС, у лікарні. Російські війська перебувають на ЗАЕС на контролюють периметр міста.","https://t.me/orlovdmytroEn/190","3"
2022-03-06,"Окупація та зміна інформаційного простору","Російські окупанти позбавили місто зв'язку, щоб місцеві мешканці не поширювали фото і відео про події на ЗАЕС та в Енергодарі. В'їзд до міста обмежено, виникли проблеми з продуктами через відсутність постачання.","https://t.me/orlovdmytroEn/196","3"
2022-03-07,"Захоплення міста","Енергодар прощається з Євгеном Уколовим та Михайлом Фроліковим - загиблими бійцями Нацгвардії, що боронили ЗАЕС","https://t.me/orlovdmytroEn/208","3"
2022-03-09,"Захоплення міста","З міста вирушила перша евакуаційна колона з Енергодара до Запоріжжя.","https://t.me/orlovdmytroEn/227","3"
2022-03-09,"Спротив енергодарців","Мирна акція спротиву пройшла біля пам'ятника Тараса Шевченка.","https://t.me/orlovdmytroEn/234","3"
2022-03-10,"Захоплення міста","Енергодар в блокаді. В місті дефіцит пального, продуктів харчування та ліків.","https://t.me/orlovdmytroEn/243","3"
2022-03-12,"Шантаж і загроза ЗАЕС","Росіяни повідомили персоналу ЗАЕС, що станція перебуває у власності ""Росатому"". Туди прибули 11 цивільних з Росатому. На території ЗАЕС тривають роботи з виявлення та знешкодження боєприпасів, що не вибухнули.","https://t.me/energoatom_ua/2852","3"
2022-03-13,"Окупація та зміна інформаційного простору","Росіяни тероризують мирних жителів на вулицях Енергодара. Російські військові зупинили цивільну автівку посеред міста і побили водія.","https://t.me/energoatom_ua/2981 ","3"
2022-03-14,"Захоплення міста","Втрачено транспортне сполучення між Енергодаром та Запоріжжям. Росіяни зруйнували міст в районі Кам'янського","https://t.me/energoatom_ua/3050","3"
2022-03-14,"Шантаж і загроза ЗАЕС","На території ЗАЕС розташовані російські війська, техніка та боєприпаси.","https://t.me/energoatom_ua/3052","3"
2022-03-14,"Окупація та зміна інформаційного простору","Росіяни полонили строковиків НГУ, які до захолення патрулювали місто, і залучили їх до примусових робіт. Окупанти знесли флагшток з прапором ОУН та спалили його.","","3"
2022-03-16,"Шантаж і загроза ЗАЕС","Пошкоджена адмінбудівля ЗАЕС. Зруйновано учбово-тренувальний центр ЗАЕС.","https://t.me/energoatom_ua/3249","3"
2022-03-20,"Окупація та зміна інформаційного простору","Росіяни викрали першого заступника міського голови Івана Самойдюка.","https://t.me/orlovdmytroEn/331 ","3"
2022-03-20,"Спротив енергодарців","Енергодарці влаштували мітинг проти викрадення заступника мера. В місто приїхали омонівці, щоб придушувати подальші мітинги.","https://t.me/orlovdmytroEn/331 ","3"
2022-03-26,"Окупація та зміна інформаційного простору","Росіяни встановили свою ""тарілку"" на будівлі вузлу зв’язку ЗАЕС для забезпечення мовлення та проведення ворожоі‌ агітації серед містян.","https://t.me/zoda_gov_ua/5774","3"
2022-03-27,"Окупація та зміна інформаційного простору","Створена окупаційна адміністрація міста","https://t.me/orlovdmytroEn/376","3"
2022-03-28,"Спротив енергодарців","Черговий проукраїнський мітинг в центрі Енергодара","https://t.me/orlovdmytroEn/380","3"
2022-03-28,"Окупація та зміна інформаційного простору","Російські війська знищують енергодарські лісосмуги, вони бояться, що там можуть ховатися українські військові.","https://t.me/energodar_ukr/16","3"
2022-03-29,"Окупація та зміна інформаційного простору","Окупанти агітують мешканців міста вступати до лав ""нової міліції"", обіцяють списати комунальніта банківські борги.","https://t.me/zoda_gov_ua/5832 ","3"
2022-03-29,"Шантаж і загроза ЗАЕС","Працівникам ЗАЕС заборонили приходити на роботу зі смартфонами.","https://t.me/energodar_ukr/49","3"
2022-04-01,"Окупація та зміна інформаційного простору","Росіяни вимагають від учителів почати навчання російською мовою.","https://t.me/energodar_ukr/70","4"
2022-04-02,"Спротив енергодарців","Мітинг на підтримку України.","https://t.me/energoatom_ua/4346","4"
2022-04-02,"Окупація та зміна інформаційного простору","У місті зник зв'язок.","https://t.me/energoatom_ua/4351","4"
2022-04-03,"Окупація та зміна інформаційного простору","Окупанти вивісили прапор Росії на міській раді. Наступного дня вони почали розшукувати учасників АТО, проводити обшуки у їхніх домівках, а самих вивозити у невідомому напрямку.","https://t.me/energodar_ukr/114","4"
2022-04-09,"Захоплення міста","Росіяни захопили в приміщення «Укртелекому». Усе обладнання пошкодили або викрали, щоб залишити місто без зв'язку з Україною.","https://t.me/zoda_gov_ua/6300","4"
2022-04-11,"Захоплення міста","Військові РФ риють траншеї і окопи поруч з Енергодаром. Укріплення роблять біля села Новоукраїнка, в бік Іванівки.","https://t.me/energoatom_ua/4804","4"
2022-04-13,"Захоплення міста","Окупанти заблокували евакуаційний транспорт з міста.","https://t.me/energodar_ukr/186","4"
2022-04-14,"Окупація та зміна інформаційного простору","Колаборанти змушують бізнес до перереєстрації. На блокпостах росіяни роздають листівки із закликами: «Возврата к прежнему неонацистскому режиму не будет. Россия пришла в ваш регион навсегда и никуда не уйдет».","https://t.me/energodar_ukr/200","4"
2022-04-15,"Окупація та зміна інформаційного простору","Стелу ""Енергодар"" перефарбували у російський триколор.","https://mig.com.ua/rashisty-perekrasili-stellu-pri-vezde-v-jenergodar/ ","4"
2022-04-19,"Шантаж і загроза ЗАЕС","На ЗАЕС відбувається ротація - під контролем окупантів.","https://t.me/zoda_gov_ua/6702","4"
2022-04-20,"Окупація та зміна інформаційного простору","Росіяни захопили агрокомпанію  “Агрокоін”. За словами керівника підприємтва, окупанти продають теплічні огірки і помідори, залишаючи собі кошти.","https://t.me/zoda_gov_ua/6744","4"
2022-04-21,"Окупація та зміна інформаційного простору","Окупаційна ""влада"" збирає заявки на виплату 10 тисяч рублів збираючи таким чином паспортні дані для проведення рсевдореферендуму.","https://t.me/energodar_ukr/277","4"
2022-04-30,"Окупація та зміна інформаційного простору","В місто заїхали колона російської техніки та автобус з російськими пропагандистами та співаками. Окупанти почали вводити в обіг російські рублі. ","https://t.me/energodar_ukr/377","4"
2022-05-05,"Шантаж і загроза ЗАЕС","Окупанти заборонили керівникам ЗАЕС виїжджати з міста. На Запорізькій ТЕС закінчились вугілля, організувати поставки було неможливо, Запорізьку ТЕС віключили.","https://t.me/zoda_gov_ua/7377","5"
2022-05-07,"Окупація та зміна інформаційного простору","Окупанти встановили БТР-и з червоними прапорами біля міської ради.","https://t.me/energodar_ukr/446","5"
2022-05-09,"Окупація та зміна інформаційного простору","Десь 200-300 осіб взяли участь у ході ""безсмертного полку"". Серед них, ймовірно, були і завезені росіяни.","https://t.me/energoatom_ua/5994","5"
2022-05-20,"Спротив енергодарців","Енергодарські пожежники вийшли на протест проти викрадення командира пожежного загону Віталія Трояна. Росіяни викрали  в.о. командира рятувального загону С. Пилинського.","https://t.me/energodar_ukr/659?single","5"
2022-05-22,"Спротив енергодарців","Під час вибуху отримали поранення самопроголошений голова ""народної адміністрації"" Шевчик і його охоронці. Вони госпіталізовані. Ніхто з мешканців під’їзду не постраждав.","https://t.me/orlovdmytroEn/483","5"
2022-05-23,"Шантаж і загроза ЗАЕС","Російські військові важко поранили працівника ЗАЕС Сергія Швеця","https://t.me/energoatom_ua/6490","5"
2022-05-27,"Захоплення міста","Новий гауляйтер Енергодара, бандит з ОРДЛО на прізвисько «кирпич», який змінив Шевчика, притягнув бетонні блоки для укріплення захопленого готелю ЗАЕС, в якому він оселився.","https://t.me/energodar_ukr/762","5"
2022-06-11,"Захоплення міста","Окупанти встановили ПЗРК на даху 14-поверхового житлового будинку.","https://t.me/energodar_ukr/954","6"
2022-06-12,"Окупація та зміна інформаційного простору","Російські пропагандисти влаштували день міста в Енергодарі.  У ""шоу"" брали участь російські артисти, окупаційна влада під триколорами оголошувала промови. Ввечері влаштували салют. ","https://t.me/orlovdmytroEn/565","6"
2022-06-15,"Шантаж і загроза ЗАЕС","Росіяни повідомили керівникам ЗАЕС про передачу станції під контроль Росії з вересня.","https://t.me/energoatom_ua/7196","6"
2022-06-17,"Захоплення міста","Батьки полонених нацгвардійців-захисників ЗАЕС, заявили про знущання і попросили допомоги у звільненні їхніх синів.","https://t.me/energodar_ukr/1076","6"
2022-06-24,"Окупація та зміна інформаційного простору","Росіяни встановили в Енергодарі базову станцію стільникового зв’язку. Її завезли з Краснодарського краю.","","6"
2022-06-23,"Окупація та зміна інформаційного простору","Російські військові викрали начальника управління комунальної власності міськради Енергодара Бориса Ярмоленка.","https://t.me/orlovdmytroEn/620","6"
2022-06-24,"Шантаж і загроза ЗАЕС","Навколо ЗАЕС почали будувати фортифікаційні споруди.","https://t.me/energodar_ukr/1192","6"
2022-06-29,"Шантаж і загроза ЗАЕС","Російські військові закатували водолаза гідроцеху ЗАЕС Андрія Гончарука.","https://t.me/energoatom_ua/7683","6"
2022-06-30,"Окупація та зміна інформаційного простору","В Енергодарі запрацювали російські мобільні оператори та інтернет-провайдери.","https://t.me/energodar_ukr/1270","6"
2022-07-03,"Окупація та зміна інформаційного простору","Окупанти організовують ""свято"" на День родини. На анонсований велопробіг з усього міста зібралося 15 дітей.","https://t.me/orlovdmytroEn/636","7"
2022-07-06,"Окупація та зміна інформаційного простору","Окупанти анонсували початок нового навчального року за російською шкільною програмою. 46 українських освітян погодилися співпрацювати з окупантами. Інших мали завезти з Криму та Росії.","https://t.me/orlovdmytroEn/648","7"
2022-07-10,"Окупація та зміна інформаційного простору","На ЗАЕС прибув російський пропагандист Артемій Лебедєв.","https://t.me/orlovdmytroEn/667","7"
2022-07-11,"Окупація та зміна інформаційного простору","Окупанти спільно з колаборантами (компанія ""ДВ-ком"") захопили вузли зв'язку інтернет-провайдера ""Просто"".","https://t.me/orlovdmytroEn/718","7"
2022-07-17,"Шантаж і загроза ЗАЕС","Окупанти викрали трьох працівників ЗАЕС Ігора Квашніна, Сергія Пихтіна та Олену Рябцеву.","https://t.me/orlovdmytroEn/697","7"
2022-07-20,"Окупація та зміна інформаційного простору","Близько тридцяти колаборантів-енергодарців отримали російські паспорти.","https://t.me/orlovdmytroEn/706","7"
2022-07-21,"Шантаж і загроза ЗАЕС","Окупанти стягнули військову техніку в машинну залу ЗАЕС.","https://t.me/orlovdmytroEn/707","7"
2022-07-22,"Шантаж і загроза ЗАЕС","Українські військові вдарили позиціях російських окупантів біля Запорізької АЕС. Дрон-камікадзе завдав удару по російському військовому наметовому містечку та техніці ворога.","https://t.me/orlovdmytroEn/712","7"
2022-07-23,"Окупація та зміна інформаційного простору","Призначений окупантами мер Андрій Шевчик зник разом з новопризначеним заступником.","https://t.me/orlovdmytroEn/716","7"
2022-07-24,"Шантаж і загроза ЗАЕС","Вночі росіяни обстрілювали з РСЗВ населені пункти на протилежному березі водосховища.","https://t.me/orlovdmytroEn/723","7"
2022-07-25,"Шантаж і загроза ЗАЕС","Російські війська облаштували вогневі позиції на території ЗАЕС.","https://t.me/orlovdmytroEn/725","7"
2022-07-28,"Обстріли Енергодара","В результаті обстрілу пошкоджено приватний будинок на вулиці Придніпровській. Росіяни поширюють фото осколків міни в дитячій кімнаті  та звинувачують в обстрілі ЗСУ.","https://t.me/orlovdmytroEn/735","7"
2022-07-30,"Шантаж і загроза ЗАЕС","Вибухи перед готелем «ВП ЗАЕС».","https://t.me/orlovdmytroEn/746","7"
2022-08-02,"Захоплення міста","Евакуація на підконтрольну територію неможлива через розмиту дорогу.","https://t.me/orlovdmytroEn/753","8"
2022-08-03,"Обстріли Енергодара","Росіяни обстрілюють Енергодар з сусідніх сіл з метою провокації.","https://t.me/orlovdmytroEn/756","8"
2022-08-05,"Окупація та зміна інформаційного простору","Окупанти готуються до псевдореферендуму. По місту розставлені агітаційні намети.","https://t.me/orlovdmytroEn/762","8"
2022-08-05,"Обстріли Енергодара","Росіяни обстріляли житлові квартали Енергодара. ","https://t.me/orlovdmytroEn/763","8"
2022-08-05,"Шантаж і загроза ЗАЕС","Армія РФ також обстріляла високовольтну лінію електропередач.","https://t.me/orlovdmytroEn/764","8"
2022-08-06,"Шантаж і загроза ЗАЕС","Росіяни обстріляли майданчика з відпрацьованим ядерним паливом, також обстрілюють Енергодар і околиці міста. Російські ЗМІ звинувачують у обстрілах ЗСУ.","https://t.me/energoatom_ua/8708","8"
2022-08-07,"Обстріли Енергодара","Росіяни обстріляли Енергодар і околиці міста. Є влучання у дачному і гаражному кооперативах.  Знищено щонайменше чотири автівки, поранено працівницю ЗАЕС.","https://t.me/orlovdmytroEn/773","8"
2022-08-11,"Шантаж і загроза ЗАЕС","Армія РФ обстріляла ЗАЕС. Зафіксовано п’ять «прильотів»  поруч із сховищем джерел випромінювання. Пошкоджена насосна станція господарсько-побутових стоків. Також обстрілів зазнала пожежна частина ЗАЕС.","https://t.me/orlovdmytroEn/793","8"
2022-08-13,"Шантаж і загроза ЗАЕС","Армія РФ готує провокації з використанням прапора України. Обстріли ЗАЕС з району паркової зони.","https://t.me/orlovdmytroEn/801","8"
2022-08-14,"Обстріли Енергодара","Російські військові обстріляли місто з району яхт-клубу (СОТ «Волна»). Загинув працівник ЗАЕС Марко Максим.","https://t.me/orlovdmytroEn/812","8"
2022-08-18,"Шантаж і загроза ЗАЕС","Мінометний обстріл промзони ЗАЕС - провокація армії РФ","https://t.me/orlovdmytroEn/853","8"
2022-08-22,"Шантаж і загроза ЗАЕС","На територію ЗАЕС завезли військову техніку. Загалом на станції дислоковано понад 40 одиниць військової техніки.","https://t.me/energoatom_ua/9114","8"
2022-08-22,"Обстріли Енергодара","Обстріл Запорізької ТЕС. Пошкоджено центральний тепловий пункт. Місто залишилося без води і світла. Один загиблий і четверо поранених.","https://t.me/orlovdmytroEn/858","8"
2022-08-25,"Шантаж і загроза ЗАЕС","Вперше в історії ЗАЕС повністю вимкнено через обстріли енергетичної інфраструктури.","https://t.me/orlovdmytroEn/891","8"
2022-08-26,"Шантаж і загроза ЗАЕС","Два із зупинених напередодні енергоблоків ЗАЕС під'єднали до енергомережі, триває набір потужності. Російські війська обстріляли ЗАЕС. Снаряди влучили у дах спецкорпусу №1 і теплотрасу ","https://t.me/orlovdmytroEn/898","8"
2022-08-26,"Обстріли Енергодара","Обстріли у третьому і п'ятому мікрорайонах Енергодара. Відомо про 10 постраждалих.","https://t.me/orlovdmytroEn/903","8"
2022-08-29,"Окупація та зміна інформаційного простору","Окупанти викрали кількох педагогів. Вчителів забрали з домівок і вивезли у невідомому напрямку.","https://t.me/orlovdmytroEn/914","8"
2022-09-01,"Обстріли Енергодара","Візит місії МАГАТЕ. Російська армія обстрілює Енергодар з метою звинуватити в обстрілах ЗСУ. В місто заїхала танкова колона. Пожежа в дитячих садочках №4 та №5, ушкоджено приймальне відділення СМСЧ та житловий будинок.","https://t.me/orlovdmytroEn/946","9"
2022-09-01,"Місія МАГАТЕ","""Представник"" Росатому запевняє голову МАГАТЕ, що обстріли міста ведуться з української території.","https://t.me/endarua/114","9"
2022-09-01,"Шантаж і загроза ЗАЕС","В Енергодарі знову вибухи. Пошкоджено Дніпровську ЛЕП, ЗАЕС працює на власні потреби після обстрілів армії РФ.","","9"
2022-09-02,"Шантаж і загроза ЗАЕС","Відключений після обстрілів 5-й енергоблок ЗАЕС знову під'єднано до енергомереж.","","9"
2022-09-02,"Шантаж і загроза ЗАЕС","Російські війська обстріляли Нікополь з позицій поблизу ЗАЕС.","https://youtu.be/6jSQw35mJrA","9"
2022-09-03,"Шантаж і загроза ЗАЕС","Фізичну цілісність Запорізької АЕС порушено через обстріл. МАГАТЕ прийняло рішення залишити на станції постійних преставників.","https://www.dw.com/uk/grossi-fizicnu-cilisnist-zaes-poruseno/a-62988143#:~:text=%D0%93%D0%B5%D0%BD%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%20%D0%9C%D0%90%D0%93%D0%90%D0%A2%D0%95%20%D0%A0%D0%B0%D1%84%D0%B0%D0%B5%D0%BB%D1%8C%20%D0%93%D1%80%D0%BE%D1%81%D1%81%D1%96%20%D0%BF%D1%96%D1%81%D0%BB%D1%8F,%D0%BE%D0%BA%D1%83%D0%BF%D0%B0%D0%BD%D1%82%D1%96%D0%B2%20%D0%B2%20%D0%BE%D0%B1%D1%81%D1%82%D1%80%D1%96%D0%BB%D0%B0%D1%85%20%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97%20%D0%97%D0%90%D0%95%D0%A1.","9"
2022-09-03,"Шантаж і загроза ЗАЕС","5-й енергоблок ЗАЕС відключений через обстріли ліній зв'язку.","https://t.me/orlovdmytroEn/962","9"
2022-09-05,"Шантаж і загроза ЗАЕС","Частина працівників МАГАТЕ завершили місію на станції","https://t.me/energoatom_ua/9432","9"
2022-09-05,"Шантаж і загроза ЗАЕС","Через обстріли ЗАЕС відключена остання лінія, яка з`єднувала вузол ЗАЕС/ЗаТЕС із енергосистемою України.","https://t.me/endarua/171","9"
2022-09-06,"Обстріли Енергодара","Російські військові обстрілюють Енергодар.","https://t.me/endarua/184","9"
2022-09-06,"Місія МАГАТЕ","МАГАТЕ опублікувало <a href='https://www.iaea.org/sites/default/files/22/09/ukraine-2ndsummaryreport_sept2022.pdf' target='blank'>звіт за підсумками місії</a> на Запорізьку АЕС.","","9"
2021-09-07,"Обстріли Енергодара","Перебої з електро- і водопостачанням у місті через обстріли лінії електропередач.","","9"
2022-09-09,"Місія МАГАТЕ","Гендиректор МАГАТЕ закликав створити безпечну зону навколо ЗАЕС.","https://twitter.com/rafaelmgrossi/status/1568239416803528705","9"
2022-09-11,"Шантаж і загроза ЗАЕС","Енергоблок №6 ЗАЕС відключили від енергомережі та почали готувати його для переведення у холодний стан. Протягом попередніх трьох діб енергоблок працював у режимі острова, заживлюючи лише потреби ЗАЕС на критично низькому рівні потужності.","https://t.me/energoatom_ua/9541","9"
2022-09-15,"Шантаж і загроза ЗАЕС","В резолюції Рада керуючих МАГАТЕ закликає Росію «негайно припинити всі дії проти Запорізької атомної електростанції та будь-якого іншого ядерного об’єкта в Україні та на них». Схвально проголосували 26 держав, дві – Китай та Росія – висловилися «проти», а ще сім (Єгипет, Південна Африка, Сенегал, Бурунді, В’єтнам, Індія та Пакистан) утрималися.","https://www.reuters.com/world/europe/iaea-board-passes-resolution-calling-russia-leave-zaporizhzhia-2022-09-15/","9"
2022-09-21,"Шантаж і загроза ЗАЕС","В результаті російського обстрілу пошкоджено обладнання зв’язку енергоблоку №6 з відкритим розподільчим пристроєм ЗАЕС. ","https://t.me/energoatom_ua/9720","9"
2022-09-29,"Шантаж і загроза ЗАЕС","Вибух міни на периметрі ЗАЕС.","https://t.me/energoatom_ua/9877","9"
2022-09-30,"Шантаж і загроза ЗАЕС","Російські військові викрали гендиректора ЗАЕС Ігоря Мурашова.","https://t.me/energoatom_ua/9909","9"
2022-10-05,"Шантаж і загроза ЗАЕС","Президент РФ Владімір Путін підписав указ про привласнення Росією ЗАЕС.","","10"
2022-10-08,"Шантаж і загроза ЗАЕС","Повне знеструмлення ЗАЕС через обстріли лінії електропередач.","https://t.me/energoatom_ua/10014","10"
2022-10-10,"Шантаж і загроза ЗАЕС","Представники Росатома вимагають від українських працівників ЗАЕС влаштовуватися на роботу (укладаючи трудові угоди) на щойно створену фейкову «Запорізьку АЕС» з юридичною адресою в Москві. Росіяни викрали заступника гендиректора ЗАЕС з персоналу Валерія Мартинюка.","https://t.me/energoatom_ua/10078","10"
2022-10-11,"Шантаж і загроза ЗАЕС","Росіяни облаштовують зимову казарму на ЗАЕС.","https://t.me/energoatom_ua/10096","10"
