"date","type","description","source","month"
2022-02-24,"Спротив енергодарців","На в'їзді в Енергодар почав роботу символічний блокпост. Обороняти його було нікому, вантаж зброї із Запоріжжя не встиг доїхати.","https://www.facebook.com/DmitroOrlovOfficial/posts/pfbid02J76erafFDAmKx2fKzesZxzJsMgeSPeSuKeSMYwJKGvfH1iuAdm8N3y3gkgFdYHBMl ","2"
2022-02-26,"Спротив енергодарців","Чоловіків 18-60 років звернулися із закликами патрулювати вулиці. У місті шукали ворожі мітки й виявляли підозрілих людей.","https://t.me/orlovdmytroEn/9","2"
2022-02-26,"Захоплення міста","Понад 100 одиниць російської техніки наближалося до міста через села Верхній Рогачик і Велику Білозерку. Зрештою Велику Білозерку російські військові захопили.","https://twitter.com/PtCEV7IRQG6o2QH/status/1497510982272303105?s=20&t=WyNntcvvxODlHUhzJIeFDw","2"
2022-02-27,"Захоплення міста","Росіяни рушили на Енергодар, але потім повернулися в напрямку Великої Білозерки. Дорогою армія РФ грабувала крамниці та вимагала їжу в місцевих жителів.","https://t.me/zoda_gov_ua/4760","2"
2022-02-27,"Шантаж і загроза ЗАЕС","На ЗАЕС працювало два енергоблоки. На станцію не підвозили ні їжу, ні паливо.","https://t.me/orlovdmytroEn/34","2"
2022-02-27,"Спротив енергодарців","Мер закликав приходити на блокпост з мішками й лопатами. Потрібною була допомога з наповненням мішків піском для укріплення блокпосту.","https://t.me/orlovdmytroEn/48","2"
2022-02-28,"Захоплення міста","До міста наближалося 40-50 одиниць російської військової техніки. Люди укріплювали блокпост.","https://twitter.com/UkraineWarPic/status/1498354632988540932","2"
2022-02-28,"Спротив енергодарців","Мер Енергодара закликав охочих охороняти громадський порядок. Мітинг і протистояння на блокпосту. Мітингувальники зустріли російських військових вигуками про те, що Енергодар — це Україна. ","https://t.me/orlovdmytroEn/67","2"
2022-02-28,"Захоплення міста","Російські військові перестали випускати з міста автомобілі з цивільними, а також погрожували пасажирам і водіям розстрілом.","https://twitter.com/Shtirlitz53/status/1498274991158267905?s=20&t=kUYMwtmTiBofGSlY4N_RPg","2"
2022-03-01,"Захоплення міста","Енергодар в оточенні.","https://t.me/orlovdmytroEn/90","3"
2022-03-01,"Захоплення міста","Протистояння на блокпосту. Беззбройні місцеві мешканці впродовж 2 год стояли навпроти колони й не давали їм в'їжджати до міста. ","https://t.me/orlovdmytroEn/95","3"
2022-03-02,"Захоплення міста","Чергова російська колона на в'їзді до Енергодара. Мер міста пішов на переговори з російськими військовими.","https://t.me/orlovdmytroEn/103","3"
2022-03-02,"Захоплення міста","Мер міста пішов на переговори з російськими військовими.","https://t.me/orlovdmytroEn/104","3"
2022-03-02,"Спротив енергодарців","Енергодарці стали перед колоною російської військової техніки.","https://t.me/orlovdmytroEn/115","3"
2022-03-03,"Захоплення міста","Понад сотня одиниць російської техніки наблизилася до міста. Російська армія обстріляла житлові будинки та школу. Колона російської техніки в‘їхала в місто.","https://t.me/orlovdmytroEn/133","3"
2022-03-03,"Шантаж і загроза ЗАЕС","Ворожа техніка вирушила в бік ЗАЕС. Звідти було чутно канонаду.","https://t.me/orlovdmytroEn/163","3"
2022-03-04,"Шантаж і загроза ЗАЕС","Пожежа в навчально-тренувальному корпусі ЗАЕС. Росіяни захопили майданчик ЗАЕС. Працював лише один блок із шести.","https://t.me/orlovdmytroEn/166","3"
2022-03-04,"Захоплення міста","Російська військова техніка на площі біля міськради Енергодару.","https://twitter.com/Shtirlitz53/status/1499711595223597064","3"
2022-03-05,"Захоплення міста","Російські військові захопили міськраду Енергодара. Працівники мерії не змогли потрапити на роботу.","https://t.me/orlovdmytroEn/182","3"
